File	id	Group
S00001	Light Roast 1	Light Roast
S00002	Light Roast 2	Light Roast
S00003	Light Roast 3	Light Roast
S00004	Med Roast 1	Med Roast
S00005	Med Roast 2	Med Roast
S00006	Med Roast 3	Med Roast
S00007	Dark Roast 1	Dark Roast
S00008	Dark Roast 2	Dark Roast
S00009	Dark Roast 3	Dark Roast
S00010	Light Roast 4	Light Roast
S00011	Light Roast 5	Light Roast
S00012	Light Roast 6	Light Roast
S00013	Med Roast 4	Med Roast
S00014	Med Roast 5	Med Roast
S00015	Med Roast 6	Med Roast
S00016	Dark Roast 4	Dark Roast
S00017	Dark Roast 5	Dark Roast
S00018	Dark Roast 6	Dark Roast
SQ0_Blank_0	Blank_0	Blank
SQ0_Blank_1	Blank_1	Blank
SQ0_Blank_2	Blank_2	Blank
SQ0_Blank_3	Blank_3	Blank
SQ0_Blank_4	Blank_4	Blank
SQ0_Blank_5	Blank_5	Blank
SQ0_Blank_6	Blank_6	Blank
SQ0_Blank_7	Blank_7	Blank
